"Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Perceptions.of.corruption","Compulsory.education..duration..years.","Individuals.using.the.Internet....of.population.","Rural.population....of.total.population.","Log.Scientific.and.technical.journal.articles","Ladder.score"
0.435084771651138,0.815155461500895,0.734361610968295,0.811576354679803,0.929074817667787,0.0909090909090909,0.760770764045197,0.526599002537405,0.318822804251718,0.264902654867257
0.765740033603177,0.834934071300667,1,0.738587848932677,0.619437843153323,0.363636363636364,0.881053193034464,0.0988105307162093,0.870527041815172,0.482902654867257
0.42482052848633,0.606381246947745,0.768637532133676,0.676847290640394,0.677702204375973,0.454545454545455,0.756782531495236,0.101851041697047,0.57142343201079,-1.39109734513274
0.659660913395448,0.923815725215693,0.70694087403599,0.848932676518883,0.754650495779726,0.363636363636364,0.871702848286775,0.512339467825512,0.554786826650249,0.610902654867257
0.269940430731633,0.523685495686147,0.456726649528706,0.627257799671593,0.869458329918872,0.636363636363636,0.197271130832701,0.868849709802549,0.509120082530267,-1.10709734513274
0.706399877806629,0.924792446687286,0.727506426735219,0.73431855500821,0.852741129230517,0.545454545454545,0.88854034114396,0.383602628790309,0.50389023531315,0.656902654867257
0.515503283946846,0.424385479407456,0.718937446443874,0.210509031198686,0.944931574203065,0.454545454545455,0.821645610409992,0.132533224448528,0.535279445053053,-2.87009734513274
0.110432259049947,0.598241901351131,0,0.601806239737274,0.912480537572728,0.181818181818182,0.400632988383561,0.856857798388116,0.180017404459933,-2.39109734513274
0.00137467542385831,0.453904172771176,0.381319622964867,0.613026819923371,0.869458329918872,0.0909090909090909,0.226625569937189,0.576241238175791,0.118592891125382,-1.30809734513274
0.749289751031007,0.904932443431548,0.7617823479006,0.665024630541872,0.814389904121937,0.545454545454545,0.839807160304221,0.38569282818561,0.551611612175948,1.24090265486726
1,0.850018991806392,0.907740645529849,0.940339354132458,0.290912070802262,0.636363636363636,0.984209556705712,0.101333352777049,0.46223781494695,1.54490265486726
0.0119138536734383,0.505995984589506,0.435589831476721,0.295019157088123,0.768663443415553,0,0.0825950277678289,0.738763963018054,0.297419357792273,-1.34909734513274
0.00309301970368119,0.248250040696728,0.451156812339332,0.665024630541872,0.746537736622142,0.272727272727273,0.124197418601113,1,0.354748469775962,-2.15609734513274
0.671987169696044,0.712843887351457,0.701799485861183,0.94055829228243,0.793493403261493,0.0909090909090909,0.917450321404932,0.271256841757323,0.736139954563622,0.397902654867257
0.0883458072399573,0.436757284714309,0.350471293916024,0.608210180623974,0.876587724330083,0.363636363636364,0.225137134781484,0.672392840824025,0.264220587823926,-1.34509734513274
0.785798839162976,0.899723262249715,0.905741216795201,0.887684729064039,0.747766942555109,0.545454545454545,0.873350374001136,0.0630754124498109,0.403419284711025,0.768902654867257
0.303574156102032,0.515220576265668,0.519280205655527,0.412698412698413,0.696959763992461,0.363636363636364,0.478293976450488,0.533270627351474,0.135260486821349,-1.07209734513274
0.623919352375134,0.849910467198437,0.640102827763496,0.789162561576355,0.808981398016881,0.545454545454545,0.621631217287715,0.719470936506548,0.334072000194583,0.238902654867257
0.592301817626394,0.748331434152694,0.70694087403599,0.858456486042693,0.800131115299517,0.818181818181818,0.703270125503855,0.230716695346147,0.726340114924418,1.10090265486726
0.498319841148618,0.776330783005046,0.689802913453299,0.794417077175698,0.941981479963943,0.563636363636364,0.563738641277127,0.692393132479754,0.352294614896959,0.238902654867257
0.483656636627463,0.925443594335015,0.525278491859469,0.585221674876847,0.90264689010899,0.636363636363636,0.636553651265313,0.379142726592197,0.328173381584248,0.118902654867257
0.611959676187567,0.804574312225297,0.754927163667524,0.693349753694581,0.824285011882324,0.363636363636364,0.79157868648096,0.390988810141842,0.362385614058296,0.129902654867257
0.389766305177944,0.266807748657008,0.641816623821765,0.730377668308703,0.835040563795788,0.363636363636364,0.846691592008615,0.436735011325964,0.62455242894347,-0.782097345132743
